"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","AT","Austria",6514.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","BE","Belgium",8098.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","BG","Bulgaria",144.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","CY","Cyprus",40.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","CZ","Czechia",20750.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","DE","Germany",70571.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","DK","Denmark",3773.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","EE","Estonia",285.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","ES","Spain",11481.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","EU27_21","EU (without UK)",170102.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","EU27_UK_21","EU (with UK until 2019)",236818.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","EUEEA30_21","EU/EEA (without UK)",173630.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","EUEEAUK_21","EU/EEA (with UK until 2019)",240346.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","FI","Finland",4889.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","FR","France",5958.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","HR","Croatia",1647.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","HU","Hungary",8444.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","IE","Ireland",2593.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","IS","Iceland",142.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","IT","Italy",1252.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","LT","Lithuania",1184.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","LU","Luxembourg",873.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","LV","Latvia",37.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2014","MT","Malta",288.000000000,""
